C,gamma,cv_mean,cv_std,cv_min,cv_max
7.4,0.01425,0.843260128794165,0.008150782345997571,0.8276676779956351,0.8577285154242639
8.6,0.0145,0.8432499359609997,0.008014505365267644,0.8279984086624635,0.8561552576076539
7.9,0.0135,0.8432484861795668,0.008381999160091915,0.8270494377398522,0.8577298099390664
8.85,0.0145,0.8432460317920804,0.0078846445469404,0.8289758629363392,0.8555701695618841
10.0,0.014,0.8432411825383308,0.0085398617475696,0.8281874726886714,0.8560996161288268
7.9,0.015,0.8432335983713855,0.007997740583025513,0.8293641779627728,0.856740365715098
8.2,0.015,0.8432213748947841,0.008060120771556977,0.8284318722626076,0.8561474282197638
7.5,0.014,0.8432209750242886,0.0080710216075406,0.8276676779956351,0.8572000961727685
8.85,0.014,0.8432196357510631,0.0079484227813276,0.8291698013734832,0.8572608810018726
9.25,0.0125,0.8432191256452563,0.0078438792433499,0.8275565460779565,0.8556453775362037
8.25,0.015,0.8432174133776529,0.0080668507959236,0.8284318722626076,0.8555616705188965
7.8,0.0135,0.8432146000524037,0.008495574177401431,0.8265287816855225,0.8571791329575124
8.3,0.015,0.8432141090126495,0.00804063908978539,0.8284318722626076,0.8554238036150508
8.5,0.0145,0.8432120868300891,0.0080233495206435,0.8280554716469981,0.8561552576076539
7.7,0.0135,0.843208517169892,0.008360966587073679,0.8276539781449154,0.8577862908258742
8.2,0.01475,0.8431876001384612,0.008000624696735889,0.8285855845957915,0.856740365715098
8.4,0.0145,0.8431865181229146,0.007779265642740036,0.829215226581833,0.8561552576076539
8.0,0.015,0.843186279691854,0.0080893285904475,0.8290990535172368,0.856740365715098
8.4,0.01475,0.8431828051399772,0.0079293498364044,0.8285290039855812,0.8561552576076539
8.5,0.01475,0.8431821268074081,0.008031441849291086,0.82786875367097,0.8556267754449924
8.75,0.015,0.8431809872040781,0.0083551934841195,0.8282980661945916,0.8561400289714066
8.5,0.013,0.8431809632271421,0.0079854668033959,0.8275565460779565,0.8571791329575124
8.25,0.013,0.8431521795671807,0.0083145263650523,0.8270546959571705,0.8577871350240172
9.25,0.0135,0.8431458383069186,0.0078950055619011,0.8297407419273146,0.856169960753359
10.0,0.013,0.8431421320219056,0.0079076423773946,0.8298499895450968,0.8564466328256161
9.5,0.014,0.8431416783583806,0.0083470707137628,0.8278123544711748,0.8558976143417616
8.0,0.0155,0.8431389196492752,0.0082752190272371,0.8278488317296228,0.8565081897457054
7.5,0.01375,0.8431379409987912,0.008361956967819072,0.8276539781449154,0.8571791329575124
7.5,0.0155,0.8431216917053899,0.0081849310168726,0.8279664472729453,0.8562125510403653
9.25,0.0145,0.8431163966229326,0.0084623621865359,0.828391237434431,0.8566615281109613
9.5,0.0135,0.8431044604047756,0.0079302374540717,0.8296771971990066,0.8564830335025981
9.0,0.014,0.8430993139586556,0.0078787663928866,0.8291698013734832,0.8566835189725146
7.4,0.014,0.8430957207381755,0.008157838144795896,0.8271420917695065,0.8566141677024294
9.75,0.0135,0.8430937659779136,0.0079072859778435,0.8290663097865376,0.8556344624397417
8.25,0.0155,0.8430903919886933,0.0083035595904196,0.8277680872484576,0.8559760034768356
8.3,0.01475,0.8430701849776394,0.007997921076000617,0.8285855845957915,0.8561552576076539
7.4,0.01375,0.8430645997905521,0.008421473362976701,0.8271193742769781,0.8566593420660633
7.75,0.0135,0.8430610639232462,0.0083335398574007,0.8271334677366857,0.8571791329575124
8.85,0.015,0.8430607833077824,0.0084286139976594,0.8282980661945916,0.8566615281109613
8.75,0.0155,0.8430351699365958,0.0084866048146179,0.8283020284239877,0.8554457485594031
10.0,0.012,0.8430315574988109,0.0076735191107735,0.8281273911107319,0.8561748882629239
9.5,0.0145,0.8430089229006009,0.0087954719176272,0.827829396650007,0.8566615281109613
